timestamp,id_albero,lat,long,Circoscrizione,Quartiere,UPL,Altezza complessiva [m],Altezza della base della chioma [m],id_operatore ,nome_operatore,ruolo_operatore,ora_controllo,nido_visibile,richiami,andirivieni,esito,note,firma_operatore,firma_capocantiere,url_foto_1,url_foto_2,url_foto_3,url_pdf
2026-05-30T08:03:10.000Z,1001,38.20203059,13.2805001,VII,Tommaso Natale - Sferracavallo,Sferracavallo,8.19,1.59,OP-05,Carlo Verdi,Operatore,07:11,No,Si,Si,SOSPENDERE,"Chioma densa, visibilità ridotta nella parte alta.",Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1001_2026-05-30_07-11-30/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1001_2026-05-30_07-11-30/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1001_2026-05-30_07-11-30/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1001_2026-05-30_07-11-30.pdf
2026-05-30T08:03:10.000Z,1002,38.20193087,13.27996954,VII,Tommaso Natale - Sferracavallo,Sferracavallo,3.96,1.46,OP-05,Carlo Verdi,Operatore,08:03,Si,No,Si,SOSPENDERE,Presenza di cavità nel tronco principale.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1002_2026-05-30_08-03-10/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1002_2026-05-30_08-03-10/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1002_2026-05-30_08-03-10/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1002_2026-05-30_08-03-10.pdf
2026-05-30T08:46:11.000Z,1003,38.20318996,13.27849163,VII,Tommaso Natale - Sferracavallo,Sferracavallo,3.94,1.59,OP-05,Carlo Verdi,Operatore,08:46,Si,Si,No,SOSPENDERE,,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1003_2026-05-30_08-46-11/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1003_2026-05-30_08-46-11/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1003_2026-05-30_08-46-11/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1003_2026-05-30_08-46-11.pdf
2026-05-30T09:38:00.000Z,1004,38.20170048,13.28058394,VII,Tommaso Natale - Sferracavallo,Sferracavallo,5.03,1.71,OP-05,Carlo Verdi,Operatore,09:38,Si,No,No,NEGATIVO,Presenza di cavità nel tronco principale.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1004_2026-05-30_09-38-00/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1004_2026-05-30_09-38-00/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1004_2026-05-30_09-38-00/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1004_2026-05-30_09-38-00.pdf
2026-05-30T10:41:13.000Z,1005,38.19953174,13.28101409,VII,Tommaso Natale - Sferracavallo,Sferracavallo,10.39,3.21,OP-05,Carlo Verdi,Operatore,10:41,Si,Si,No,SOSPENDERE,"Pianta in classe D, pericolo imminente per viabilità.",Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1005_2026-05-30_10-41-13/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1005_2026-05-30_10-41-13/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1005_2026-05-30_10-41-13/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1005_2026-05-30_10-41-13.pdf
2026-05-30T11:25:52.000Z,1006,38.20168044,13.28045643,VII,Tommaso Natale - Sferracavallo,Sferracavallo,7.83,1.8,OP-05,Carlo Verdi,Operatore,11:25,No,Si,No,NEGATIVO,Richiami udibili dal lato nord della chioma.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1006_2026-05-30_11-25-52/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1006_2026-05-30_11-25-52/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1006_2026-05-30_11-25-52/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1006_2026-05-30_11-25-52.pdf
2026-05-30T12:20:55.000Z,1007,38.20161319,13.28047563,VII,Tommaso Natale - Sferracavallo,Sferracavallo,3.81,1.91,OP-05,Carlo Verdi,Operatore,12:20,No,Si,Si,SOSPENDERE,Presenza di cavità nel tronco principale.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1007_2026-05-30_12-20-55/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1007_2026-05-30_12-20-55/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1007_2026-05-30_12-20-55/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1007_2026-05-30_12-20-55.pdf
2026-05-30T13:10:54.000Z,1008,38.19972151,13.28109486,VII,Tommaso Natale - Sferracavallo,Sferracavallo,7.43,4.56,OP-05,Carlo Verdi,Operatore,13:10,Si,Si,No,SOSPENDERE,"Pianta in classe D, pericolo imminente per viabilità.",Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1008_2026-05-30_13-10-54/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1008_2026-05-30_13-10-54/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1008_2026-05-30_13-10-54/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1008_2026-05-30_13-10-54.pdf
2026-05-30T13:50:55.000Z,1009,38.20227291,13.28043831,VII,Tommaso Natale - Sferracavallo,Sferracavallo,10.8,1.51,OP-05,Carlo Verdi,Operatore,13:50,Si,No,Si,STATO DI NECESSITÀ,"Nido rilevato a circa 4 m dal suolo, sul lato est.",Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1009_2026-05-30_13-50-55/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1009_2026-05-30_13-50-55/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1009_2026-05-30_13-50-55/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1009_2026-05-30_13-50-55.pdf
2026-05-30T14:48:36.000Z,1010,38.20181515,13.28042065,VII,Tommaso Natale - Sferracavallo,Sferracavallo,6.27,2.4,OP-05,Carlo Verdi,Operatore,14:48:00,Si,No,No,NEGATIVO,Nido strutturato con materiale di costruzione fresco.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1010_2026-05-30_14-48-36/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1010_2026-05-30_14-48-36/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1010_2026-05-30_14-48-36/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1010_2026-05-30_14-48-36.pdf
2026-05-30T15:33:57.000Z,1011,38.20060393,13.28073498,VII,Tommaso Natale - Sferracavallo,Sferracavallo,6.53,2.26,OP-05,Carlo Verdi,Operatore,15:33:00,Si,Si,Si,STATO DI NECESSITÀ,Ispezione effettuata in condizioni di buona visibilità.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1011_2026-05-30_15-33-57/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1011_2026-05-30_15-33-57/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1011_2026-05-30_15-33-57/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1011_2026-05-30_15-33-57.pdf
2026-05-30T16:25:49.000Z,1013,38.20183548,13.2805495,VII,Tommaso Natale - Sferracavallo,Sferracavallo,7.91,1.23,OP-05,Carlo Verdi,Operatore,16:25:00,No,Si,No,NEGATIVO,Andirivieni osservato per circa 10 minuti.,Carlo Verdi,Mario Bianchi,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1013_2026-05-30_16-25-49/foto_1.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1013_2026-05-30_16-25-49/foto_2.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/foto/1013_2026-05-30_16-25-49/foto_3.jpg,https://raw.githubusercontent.com/PalermoHub/Verde_Urbano/main/Lipu/schede_pdf/1013_2026-05-30_16-25-49.pdf
