Odonimo,Diametro (cm),CO2 catturata (kg/anno),Specie,count
Via Pignatelli Aragona,35,25.26,Ficus microcarpa,1
Via Pignatelli Aragona,36,25.37,Ficus microcarpa,1
Via Pignatelli Aragona,37,25.48,Ficus microcarpa,1
Via Pignatelli Aragona,38,25.59,Ficus microcarpa,3
Via Pignatelli Aragona,40,25.8,Ficus microcarpa,1
Via Pignatelli Aragona,41,25.91,Ficus microcarpa,2
Via Pignatelli Aragona,42,26.02,Ficus microcarpa,1
Via Pignatelli Aragona,43,26.12,Ficus microcarpa,1
Via Pignatelli Aragona,45,26.34,Ficus microcarpa,2
Via Pignatelli Aragona,46,26.45,Ficus microcarpa,1
Via Pignatelli Aragona,47,26.55,Ficus microcarpa,2
Via Pignatelli Aragona,48,26.66,Ficus microcarpa,3
Via Pignatelli Aragona,49,26.77,Ficus microcarpa,2
Via Pignatelli Aragona,50,26.88,Ficus microcarpa,2
Via Pignatelli Aragona,52,27.09,Ficus microcarpa,4
Via Pignatelli Aragona,53,27.2,Ficus microcarpa,1
Via Pignatelli Aragona,55,27.41,Ficus microcarpa,1
Via Pignatelli Aragona,58,27.74,Ficus microcarpa,1
Via Pignatelli Aragona,59,27.84,Ficus microcarpa,2
Via Pignatelli Aragona,62,28.17,Ficus microcarpa,2
Via Pignatelli Aragona,63,28.27,Ficus microcarpa,1
Via Pignatelli Aragona,65,28.49,Ficus microcarpa,6
Via Pignatelli Aragona,68,28.81,Ficus microcarpa,1
Via Pignatelli Aragona,76,29.67,Ficus microcarpa,1
Via Pignatelli Aragona,77,29.78,Ficus microcarpa,1
Via Pignatelli Aragona,78,29.89,Ficus microcarpa,1
Via Pignatelli Aragona,79,29.99,Ficus microcarpa,1
Via Pignatelli Aragona,82,30.32,Ficus microcarpa,1
Via Pignatelli Aragona,103,32.57,Ficus microcarpa,1
Via Delle Croci,35,25.26,Ficus microcarpa,4
Via Delle Croci,37,25.48,Ficus microcarpa,2
Via Delle Croci,38,25.59,Ficus microcarpa,3
Via Delle Croci,39,25.69,Ficus microcarpa,4
Via Delle Croci,40,25.8,Ficus microcarpa,2
Via Delle Croci,41,25.91,Ficus microcarpa,2
Via Delle Croci,42,26.02,Ficus microcarpa,7
Via Delle Croci,43,26.12,Ficus microcarpa,2
Via Delle Croci,45,26.34,Ficus microcarpa,6
Via Delle Croci,46,26.45,Ficus microcarpa,2
Via Delle Croci,47,26.55,Ficus microcarpa,3
Via Delle Croci,48,26.66,Ficus microcarpa,5
Via Delle Croci,49,26.77,Ficus microcarpa,4
Via Delle Croci,50,26.88,Ficus microcarpa,1
Via Delle Croci,56,27.52,Ficus microcarpa,1
Via Delle Croci,58,27.74,Ficus microcarpa,1
Via Delle Croci,59,27.84,Ficus microcarpa,1
Via Delle Croci,65,28.49,Ficus microcarpa,1
Via Delle Croci,72,29.24,Ficus microcarpa,1
Viale Emilia,15,21.61,Robinia pseudoacacia,4
Viale Emilia,18,18.31,Ficus benjamina,1
Viale Emilia,27,20.66,Brachychiton acerifolius ,1
Viale Emilia,30,24.38,Sophora japonica,1
Viale Emilia,32,21.11,Brachychiton acerifolius ,2
Viale Emilia,,24.94,Ficus microcarpa,2
Viale Emilia,34,25.16,Ficus microcarpa,1
Viale Emilia,36,25.37,Ficus microcarpa,2
Viale Emilia,37,25.48,Ficus microcarpa,1
Viale Emilia,38,25.23,Sophora japonica,1
Viale Emilia,,25.59,Ficus microcarpa,5
Viale Emilia,39,25.69,Ficus microcarpa,4
Viale Emilia,41,25.91,Ficus microcarpa,1
Viale Emilia,42,23.6,Acer negundo,1
Viale Emilia,,26.02,Ficus microcarpa,6
Viale Emilia,43,26.12,Ficus microcarpa,2
Viale Emilia,45,24.62,Robinia pseudoacacia,1
Viale Emilia,,26.34,Ficus microcarpa,6
Viale Emilia,47,26.55,Ficus microcarpa,2
Viale Emilia,48,26.66,Ficus microcarpa,3
Viale Emilia,49,26.77,Ficus microcarpa,2
Viale Emilia,50,26.88,Ficus microcarpa,2
Viale Emilia,52,27.09,Ficus microcarpa,2
Viale Emilia,55,27.41,Ficus microcarpa,3
Viale Emilia,62,28.17,Ficus microcarpa,2
Viale Emilia,64,30.89,Pinus halepensis,1
Viale Emilia,68,28.81,Ficus microcarpa,1
Viale Emilia,70,29.03,Ficus microcarpa,1
Viale Emilia,77,29.78,Ficus microcarpa,2
Viale Emilia,79,29.99,Ficus microcarpa,1
Viale Emilia,137,37.58,Celtis australis,1
