Odonimo,Cod. lavorazione - F2,Cod. lavorazione - F3,costo,count,colore,larg,,,
Via Pignatelli Aragona,,,0,43,#194d30,0.2,,,#ff0000
Via Pignatelli Aragona,SIC24_1.6.2,Fornitura e messa a dimora…,0,5,#ff0000,0.2,,,#194d30
Via Delle Croci,,,0,48,#194d30,0.2,,,#ff0000
Via Delle Croci,SIC24_1.6.2,Fornitura e messa a dimora…,0,4,#ff0000,0.2,,,#194d30
Viale Emilia,,,0,58,#194d30,0.8,,,#ff0000
Viale Emilia,Fornitura e messa a dimora…,15030034,0,4,#e3a82f,0.8,,,#257347
Viale Emilia,SIC24_1.6.2,Fornitura e messa a dimora…,0,3,#7ecf9c,0.8,,,#ff0000
,,,,,#86b996,0.8,,,#194d30
,,,,,,0.8,,,#508363
,,,,,,0.8,,,#257347
,,,,,#ff0000,0.8,,,#257347
,,,,,#ff0000,0.8,,,#e1a81e
