Tav,Odonimo,Codvia,,,,
01,Viale Emilia,#REF!,,,,
02,Via Pignatelli Aragona,,,,,
03,Via Delle Croci,,,,,
04,Via Scoto Michele,,,,,
05,Viale Dei Picciotti - A,_OLD,,,,
06,Viale Dei Picciotti - B,,,Via Scoto Michele,47450,357
07,Via Rizzo Ammiraglio - A,,,,,
08,Via Rizzo Ammiraglio - B,,,,,
09,Via Principe Di Belmonte,,,,,
10,Viale Michelangelo - A,,,,,
11,Viale Michelangelo - B,,,,,
12,Viale Michelangelo - C,,,,,
13,Viale Michelangelo - D,,,,,
14,Viale Margherita di Savoia - A,,,,,
15,Viale Margherita di Savoia - B,,,,,
16,Viale Margherita di Savoia - C,,,,,
17,Viale Galatea,,,,,
18,Viale Principe Umberto,,,,,
19,Via Rapisardi Mario,,,,,
20,Via Giusti Giuseppe,,,,,
21,Via Corazza Filippo,,,,,
