Tav,Prog.,Odonimo,Codvia,Rotazione,Suffisso
01,01,Viale Emilia,17510,0,
02,02,Via Pignatelli Aragona,35670,0,
03 - Rev. 1 -,03,Via Delle Croci,14910,0,Rev. 1 -
04,04,Via Scoto Michele,47450,0,
05A,05,Viale Dei Picciotti - A,35410,-37,
05B,06,Viale Dei Picciotti - B,354100,-37,
06A,07,Via Rizzo Ammiraglio - A,41870,0,
06B,08,Via Rizzo Ammiraglio - B,418700,0,
07,09,Via Giusti Giuseppe,21540,0,
08,10,Via Principe Di Belmonte,38850,0,
09A,11,Viale Michelangelo - A,28160,15,
09B,12,Viale Michelangelo - B,281600,15,
09C,13,Viale Michelangelo - C,281601,27,
09D,14,Viale Michelangelo - D,281602,26,
10A - Rev. 20/05/2026 -,15,Viale Margherita di Savoia - A,26920,95,Rev. 20/05/2026 -
10B - Rev. 20/05/2026 -,16,Viale Margherita di Savoia - B,269200,95,Rev. 20/05/2026 -
10C - Rev. 20/05/2026 -,17,Viale Margherita di Savoia - C,269001,95,Rev. 20/05/2026 -
11,18,Viale Galatea,19960,32,
12,19,Viale Principe Umberto,38960,95,
13,20,Via Rapisardi Mario,41130,25,
14,21,Via Corazza Filippo,13740,0,
15,22,Via Oreto,32350,0,
