Odonimo,Specie,count,%,colore,larg
Via Pignatelli Aragona,Ficus microcarpa,48,100%,#194d30,0.2
Via Delle Croci,Ficus microcarpa,52,100%,#194d30,0.2
Viale Emilia,Ficus microcarpa,51,78%,#194d30,0.8
Viale Emilia,Robinia pseudoacacia,5,8%,#2b5f41,0.8
Viale Emilia,Brachychiton acerifolius ,3,5%,#98cba7,0.8
Viale Emilia,Sophora japonica,2,3%,#508363,0.8
Viale Emilia,Pinus halepensis,1,2%,#86b996,0.8
Viale Emilia,Ficus benjamina,1,2%,#86b996,0.8
Viale Emilia,Celtis australis,1,2%,#86b996,0.8
Viale Emilia,Acer negundo,1,2%,#86b996,0.8
