Odonimo,CPC,count,%,legenda,colore
Via Delle Croci,B,31,60%,B (bassa),#2cc15f
Via Delle Croci,C,13,25%,C (moderata),#f39c12
Via Delle Croci,D,4,8%,D (estrema),#e74c3c
Via Delle Croci,C/D,4,8%,C/D (elevata),#c164a1
Via Pignatelli Aragona,B,32,67%,B (bassa),#2cc15f
Via Pignatelli Aragona,C,8,17%,C (moderata),#f39c12
Via Pignatelli Aragona,D,5,10%,D (estrema),#e74c3c
Via Pignatelli Aragona,C/D,3,6%,C/D (elevata),#c164a1
Via Principe Di Belmonte,B,54,55%,B (bassa),#2cc15f
Via Principe Di Belmonte,C,19,19%,C (moderata),#f39c12
Via Principe Di Belmonte,D,13,13%,D (estrema),#e74c3c
Via Principe Di Belmonte,C/D,12,12%,C/D (elevata),#c164a1
Via Rizzo Ammiraglio - A,B,45,80%,B (bassa),#2cc15f
Via Rizzo Ammiraglio - A,C/D,5,9%,C/D (elevata),#c164a1
Via Rizzo Ammiraglio - A,C,4,7%,C (moderata),#f39c12
Via Rizzo Ammiraglio - A,D,2,4%,D (estrema),#e74c3c
Via Rizzo Ammiraglio - B,B,48,80%,B (bassa),#2cc15f
Via Rizzo Ammiraglio - B,C,8,13%,C (moderata),#f39c12
Via Rizzo Ammiraglio - B,D,3,5%,D (estrema),#e74c3c
Via Rizzo Ammiraglio - B,C/D,1,2%,C/D (elevata),#c164a1
Via Scoto Michele,B,26,93%,B (bassa),#2cc15f
Via Scoto Michele,D,1,4%,D (estrema),#e74c3c
Via Scoto Michele,C,1,4%,C (moderata),#f39c12
Viale Dei Picciotti - A,B,24,77%,B (bassa),#2cc15f
Viale Dei Picciotti - A,C,5,16%,C (moderata),#f39c12
Viale Dei Picciotti - A,C/D,2,6%,C/D (elevata),#c164a1
Viale Dei Picciotti - B,B,28,82%,B (bassa),#2cc15f
Viale Dei Picciotti - B,C,5,15%,C (moderata),#f39c12
Viale Dei Picciotti - B,C/D,1,3%,C/D (elevata),#c164a1
Viale Emilia,B,51,78%,B (bassa),#2cc15f
Viale Emilia,C,7,11%,C (moderata),#f39c12
Viale Emilia,Ceppaia,4,6%,Ceppaia,#434343
Viale Emilia,D,3,5%,D (estrema),#e74c3c
Viale Michelangelo,A,227,44%,,
Viale Michelangelo,B,114,22%,B (bassa),#2cc15f
Viale Michelangelo,C,101,20%,C (moderata),#f39c12
Viale Michelangelo,C/D,37,7%,C/D (elevata),#c164a1
Viale Michelangelo,D,34,7%,D (estrema),#e74c3c
Viale Regina Margherita,,14,100%,,
