Odonimo,Ambiente,
Via Delle Croci,SUM of CO2 catturata (kg/anno),1368.01
Via Delle Croci,SUM of O2 prodotto (kg/anno),992.55
Via Pignatelli Aragona,SUM of CO2 catturata (kg/anno),1315.12
Via Pignatelli Aragona,SUM of O2 prodotto (kg/anno),954.17
Via Scoto Michele,SUM of CO2 catturata (kg/anno),767.3
Via Scoto Michele,SUM of O2 prodotto (kg/anno),556.68
Viale Dei Picciotti,SUM of CO2 catturata (kg/anno),1718.26
Viale Dei Picciotti,SUM of O2 prodotto (kg/anno),1246.66
Viale Emilia,SUM of CO2 catturata (kg/anno),1688.73
Viale Emilia,SUM of O2 prodotto (kg/anno),1225.4
