Odonimo,Diametro (cm),Lavori - F3,Specie,count
Via Pignatelli Aragona,35,,Ficus microcarpa,1
Via Pignatelli Aragona,36,,Ficus microcarpa,1
Via Pignatelli Aragona,37,Fornitura con posa in opera di una pianta,Ficus microcarpa,1
Via Pignatelli Aragona,38,,Ficus microcarpa,2
Via Pignatelli Aragona,,Fornitura con posa in opera di una pianta,Ficus microcarpa,1
Via Pignatelli Aragona,40,,Ficus microcarpa,1
Via Pignatelli Aragona,41,,Ficus microcarpa,2
Via Pignatelli Aragona,42,,Ficus microcarpa,1
Via Pignatelli Aragona,43,,Ficus microcarpa,1
Via Pignatelli Aragona,45,,Ficus microcarpa,1
Via Pignatelli Aragona,,Fornitura con posa in opera di una pianta,Ficus microcarpa,1
Via Pignatelli Aragona,46,,Ficus microcarpa,1
Via Pignatelli Aragona,47,,Ficus microcarpa,2
Via Pignatelli Aragona,48,,Ficus microcarpa,3
Via Pignatelli Aragona,49,,Ficus microcarpa,2
Via Pignatelli Aragona,50,,Ficus microcarpa,2
Via Pignatelli Aragona,52,,Ficus microcarpa,4
Via Pignatelli Aragona,53,Fornitura con posa in opera di una pianta,Ficus microcarpa,1
Via Pignatelli Aragona,55,,Ficus microcarpa,1
Via Pignatelli Aragona,58,Fornitura con posa in opera di una pianta,Ficus microcarpa,1
Via Pignatelli Aragona,59,,Ficus microcarpa,2
Via Pignatelli Aragona,62,,Ficus microcarpa,2
Via Pignatelli Aragona,63,,Ficus microcarpa,1
Via Pignatelli Aragona,65,,Ficus microcarpa,6
Via Pignatelli Aragona,68,,Ficus microcarpa,1
Via Pignatelli Aragona,76,,Ficus microcarpa,1
Via Pignatelli Aragona,77,,Ficus microcarpa,1
Via Pignatelli Aragona,78,,Ficus microcarpa,1
Via Pignatelli Aragona,79,,Ficus microcarpa,1
Via Pignatelli Aragona,82,,Ficus microcarpa,1
Via Pignatelli Aragona,103,,Ficus microcarpa,1
Via Delle Croci,35,,Ficus microcarpa,3
Via Delle Croci,,Fornitura con posa in opera di una pianta,Ficus microcarpa,1
Via Delle Croci,37,,Ficus microcarpa,2
Via Delle Croci,38,,Ficus microcarpa,3
Via Delle Croci,39,,Ficus microcarpa,4
Via Delle Croci,40,,Ficus microcarpa,1
Via Delle Croci,,Fornitura con posa in opera di una pianta,Ficus microcarpa,1
Via Delle Croci,41,,Ficus microcarpa,2
Via Delle Croci,42,,Ficus microcarpa,6
Via Delle Croci,,Fornitura con posa in opera di una pianta,Ficus microcarpa,1
Via Delle Croci,43,,Ficus microcarpa,2
Via Delle Croci,45,,Ficus microcarpa,5
Via Delle Croci,,Fornitura con posa in opera di una pianta,Ficus microcarpa,1
Via Delle Croci,46,,Ficus microcarpa,2
Via Delle Croci,47,,Ficus microcarpa,3
Via Delle Croci,48,,Ficus microcarpa,5
Via Delle Croci,49,,Ficus microcarpa,4
Via Delle Croci,50,,Ficus microcarpa,1
Via Delle Croci,56,,Ficus microcarpa,1
Via Delle Croci,58,,Ficus microcarpa,1
Via Delle Croci,59,,Ficus microcarpa,1
Via Delle Croci,65,,Ficus microcarpa,1
Via Delle Croci,72,,Ficus microcarpa,1
Viale Emilia,15,Fornitura con posa in opera di una pianta,Robinia pseudoacacia,4
Viale Emilia,18,,Ficus benjamina,1
Viale Emilia,27,,Brachychiton acerifolius ,1
Viale Emilia,30,,Sophora japonica,1
Viale Emilia,32,,Brachychiton acerifolius ,2
Viale Emilia,,,Ficus microcarpa,2
Viale Emilia,34,,Ficus microcarpa,1
Viale Emilia,36,,Ficus microcarpa,2
Viale Emilia,37,,Ficus microcarpa,1
Viale Emilia,38,,Ficus microcarpa,4
Viale Emilia,,,Sophora japonica,1
Viale Emilia,,Fornitura con posa in opera di una pianta,Ficus microcarpa,1
Viale Emilia,39,,Ficus microcarpa,4
Viale Emilia,41,,Ficus microcarpa,1
Viale Emilia,42,,Ficus microcarpa,6
Viale Emilia,,Fornitura con posa in opera di una pianta,Acer negundo,1
Viale Emilia,43,,Ficus microcarpa,2
Viale Emilia,45,,Ficus microcarpa,6
Viale Emilia,,,Robinia pseudoacacia,1
Viale Emilia,47,,Ficus microcarpa,2
Viale Emilia,48,,Ficus microcarpa,3
Viale Emilia,49,,Ficus microcarpa,2
Viale Emilia,50,,Ficus microcarpa,2
Viale Emilia,52,,Ficus microcarpa,2
Viale Emilia,55,,Ficus microcarpa,3
Viale Emilia,62,,Ficus microcarpa,2
Viale Emilia,64,Fornitura con posa in opera di una pianta,Pinus halepensis,1
Viale Emilia,68,,Ficus microcarpa,1
Viale Emilia,70,,Ficus microcarpa,1
Viale Emilia,77,,Ficus microcarpa,2
Viale Emilia,79,,Ficus microcarpa,1
Viale Emilia,137,,Celtis australis,1
