Odonimo,stagioni,,colore 
Via Delle Croci,Primavera,600534,#FAD5A5
Via Delle Croci,Estate,612789,#B0C4DE
Via Delle Croci,Autunno,600534,#D2691E
Via Delle Croci,Inverno,582150,#000080
Via Pignatelli Aragona,Primavera,751084,#FAD5A5
Via Pignatelli Aragona,Estate,766413,#B0C4DE
Via Pignatelli Aragona,Autunno,751084,#D2691E
Via Pignatelli Aragona,Inverno,728092,#000080
Via Rizzo Ammiraglio,Primavera,4241743,#FAD5A5
Via Rizzo Ammiraglio,Estate,4425770,#B0C4DE
Via Rizzo Ammiraglio,Autunno,4307840,#D2691E
Via Rizzo Ammiraglio,Inverno,4141166,#000080
Via Scoto Michele,Primavera,472472,#FAD5A5
Via Scoto Michele,Estate,482114,#B0C4DE
Via Scoto Michele,Autunno,472472,#D2691E
Via Scoto Michele,Inverno,458008,#000080
Viale Dei Picciotti - A,Primavera,413008,#FAD5A5
Viale Dei Picciotti - A,Estate,421437,#B0C4DE
Viale Dei Picciotti - A,Autunno,413008,#D2691E
Viale Dei Picciotti - A,Inverno,400365,#000080
Viale Dei Picciotti - B,Primavera,449513,#FAD5A5
Viale Dei Picciotti - B,Estate,458687,#B0C4DE
Viale Dei Picciotti - B,Autunno,449513,#D2691E
Viale Dei Picciotti - B,Inverno,435752,#000080
Viale Emilia,Primavera,832385,#FAD5A5
Viale Emilia,Estate,887115,#B0C4DE
Viale Emilia,Autunno,815078,#D2691E
Viale Emilia,Inverno,726090,#000080
